Temperature,Humidity,Light,CO2,HR,Occupancy
23.70,26.27,585.20,749.20,0.0047641630,1
23.72,26.29,578.40,760.40,0.0047726610,1
23.73,26.23,572.67,769.67,0.0047651526,1
23.72,26.13,493.75,774.75,0.0047437734,1
23.75,26.20,488.60,779.00,0.0047665940,1
23.76,26.26,568.67,790.00,0.0047793324,1
23.73,26.29,536.33,798.00,0.0047761363,1
23.75,26.29,509.00,797.00,0.0047830937,1
23.75,26.35,476.00,803.20,0.0047940940,1
23.74,26.39,510.00,809.00,0.0047961887,1
23.75,26.45,481.50,815.25,0.0048088862,1
23.70,26.56,481.80,824.00,0.0048167934,1
23.70,26.60,475.25,832.00,0.0048241038,1
23.70,26.70,469.00,845.33,0.0048423808,1
23.70,26.77,464.00,852.40,0.0048559064,1
23.70,26.89,464.00,861.00,0.0048771098,1
23.70,26.97,455.00,880.00,0.0048921908,1
23.60,26.89,454.00,891.00,0.0048475944,1
23.64,26.98,458.00,897.60,0.0048750448,1
23.65,27.05,464.00,900.50,0.0048914916,1
23.64,27.10,473.00,908.80,0.0048976302,1
23.60,27.16,464.00,918.00,0.0048966518,1
23.60,27.24,498.40,925.20,0.0049104620,1
23.60,27.29,530.20,929.40,0.0049202748,1
23.60,27.33,533.60,936.40,0.0049275438,1
23.60,27.34,524.25,950.00,0.0049293611,1
23.63,27.39,498.67,961.00,0.0049464057,1
23.60,27.39,516.33,963.00,0.0049384476,1
23.60,27.41,501.20,958.60,0.0049424457,1
23.60,27.50,522.00,965.33,0.0049584388,1
23.60,27.53,520.50,979.25,0.0049629824,1
23.60,27.60,505.29,978.43,0.0049766137,1
23.60,27.60,488.33,983.00,0.0049766137,1
23.60,27.54,512.00,992.60,0.0049657086,1
23.60,27.60,511.00,997.20,0.0049766137,1
23.62,27.63,501.50,999.50,0.0049877184,1
23.67,27.70,503.67,1001.00,0.0050150509,1
23.60,27.70,483.17,1009.50,0.0049947897,1
23.60,27.72,483.50,1019.00,0.0049988795,1
23.60,27.79,473.00,1021.00,0.0050111491,1
23.60,27.86,470.33,1024.67,0.0050232676,1
23.60,27.80,480.14,1030.43,0.0050137458,1
23.58,27.79,464.00,1026.25,0.0050035447,1
23.54,27.81,474.40,1028.00,0.0049965380,1
23.60,27.98,470.00,1034.80,0.0050453246,1
23.53,28.00,454.00,1055.50,0.0050263668,1
23.50,27.98,454.00,1055.25,0.0050147597,1
23.50,28.00,454.00,1050.00,0.0050187348,1
23.50,28.00,454.00,1051.25,0.0050187348,1
23.50,28.00,445.00,1053.60,0.0050187348,1
23.50,28.00,439.00,1055.50,0.0050187348,1
23.50,28.03,444.25,1055.00,0.0050232520,1
23.45,28.13,454.75,1059.50,0.0050244911,1
23.39,28.18,455.80,1060.00,0.0050175823,1
23.39,28.20,451.60,1073.60,0.0050211721,1
23.39,28.20,451.60,1078.60,0.0050211721,1
23.39,28.20,454.75,1081.00,0.0050211721,1
23.39,28.22,454.75,1082.00,0.0050252107,1
23.39,28.37,457.50,1088.83,0.0050522858,1
23.37,28.39,464.00,1090.60,0.0050491295,1
23.39,28.32,464.00,1086.00,0.0050433104,1
23.37,28.45,464.00,1092.50,0.0050600170,1
23.39,28.50,471.50,1103.75,0.0050750247,1
23.32,28.50,475.67,1104.50,0.0050544760,1
23.37,28.50,471.50,1103.50,0.0050673103,1
23.29,28.50,467.75,1112.00,0.0050442292,1
